iter	RMSE
0	672.7477268
1	635.0636608
2	601.4675625
3	570.3903698
4	542.5614851
5	517.9440052
6	496.6614829
7	476.7655458
8	459.0559183
9	444.0759435
10	430.7771766
11	418.7644689
12	408.1620574
13	397.80363
14	388.7701618
15	380.2068334
16	370.9064027
17	364.6389922
18	356.7834757
19	349.8835027
20	343.5659908
21	338.8884365
22	333.4436857
23	328.4283875
24	321.9405042
25	317.9869841
26	314.0957631
27	309.7547859
28	307.0381948
29	303.0895124
30	299.7705649
31	296.9493028
32	293.8793817
33	290.9597361
34	288.1988646
35	285.2201638
36	283.4707751
37	281.0919603
38	280.2900329
39	278.8798461
40	277.0829844
41	274.4568741
42	272.8573479
43	271.5601084
44	269.4999321
45	268.081611
46	266.3927863
47	264.0208672
48	262.3371898
49	260.711285
50	259.2028015
51	256.8070589
52	255.5095678
53	254.646599
54	252.9860605
55	251.7382675
56	250.7522966
57	249.4355782
58	248.4568578
59	246.8169724
60	245.3620123
61	244.5907055
62	243.3369475
63	242.3915683
64	241.3234005
65	240.641755
66	240.2909961
67	238.8418693
68	237.8159949
69	236.6598406
70	235.7403277
71	234.5951883
72	232.8410018
73	232.149064
74	230.6902717
75	229.4148257
76	228.9776866
77	228.1680049
78	226.8546879
79	224.8224209
80	223.7357081
81	222.0121594
82	219.8087028
83	219.5697298
84	218.2987596
85	218.0167678
86	217.774841
87	215.649935
88	215.4290533
89	215.1962756
90	215.0258224
91	214.8802643
92	212.3570509
93	210.8776923
94	209.0987333
95	207.7164262
96	206.3021018
97	206.1120382
98	204.9912326
99	203.3808799
100	203.1864328
101	202.1873125
102	202.0853888
103	200.6639104
104	198.9470321
105	198.7994819
106	198.7229549
107	198.4491716
108	197.3302167
109	196.1154294
110	195.3524166
111	195.2289392
112	195.1482245
113	193.8985947
114	193.0797292
115	191.698618
116	190.7843619
117	189.7813834
118	189.6580262
119	189.1315813
120	188.2597443
121	186.498877
122	186.2087249
123	186.1064248
124	185.5443135
125	184.7070661
126	183.4556125
127	181.939064
128	180.7048593
129	180.6473298
130	179.8368095
131	179.7387664
132	179.1141164
133	177.9853883
134	177.8642981
135	176.5741251
136	176.451404
137	176.3911662
138	176.1861504
139	175.6182268
140	175.5692624
141	175.2072331
142	174.5752495
143	173.8846379
144	172.8581814
145	171.7025663
146	171.0957466
147	170.5851561
148	169.8372489
149	169.3587575
150	168.6522027
151	168.0465798
152	167.0289786
153	166.2083005
154	164.8562923
155	164.037218
156	163.541579
157	162.8175621
158	162.3483548
159	162.1232574
160	161.7011682
161	160.7930153
162	160.6098665
163	159.8400106
164	158.7323799
165	158.4473437
166	157.7708102
167	156.9938647
168	156.0843326
169	155.9268615
170	155.4992974
171	155.43523
172	154.5025653
173	154.3846907
174	154.2769835
175	153.792058
176	153.4436869
177	153.2765209
178	152.5718824
179	152.1473633
180	151.653141
181	151.3203411
182	150.2840682
183	149.963884
184	149.7426597
185	149.6794981
186	149.4901282
187	148.7180428
188	148.3602759
189	148.3294605
190	148.1454307
191	147.5374482
192	147.0135319
193	146.7230087
194	146.6654981
195	145.8304207
196	145.7950511
197	145.430619
198	144.6092492
199	144.4515265
