iter	Passed	Remaining
0	2	2716
1	5	2606
2	11	3802
3	15	3976
4	21	4213
5	23	3872
6	29	4195
7	31	3895
8	33	3713
9	35	3551
10	37	3392
11	39	3290
12	42	3192
13	44	3104
14	45	3018
15	48	2966
16	50	2919
17	52	2857
18	54	2796
19	56	2753
20	58	2704
21	59	2650
22	61	2606
23	63	2599
24	65	2572
25	67	2543
26	70	2535
27	72	2513
28	75	2515
29	77	2492
30	79	2475
31	82	2490
32	84	2466
33	86	2453
34	88	2436
35	90	2418
36	92	2405
37	94	2404
38	97	2408
39	99	2389
40	103	2412
41	105	2408
42	107	2395
43	110	2409
44	112	2394
45	114	2377
46	116	2363
47	118	2347
48	119	2327
49	121	2308
50	123	2296
51	125	2288
52	127	2278
53	129	2265
54	131	2254
55	133	2242
56	134	2231
57	136	2214
58	138	2202
59	140	2197
60	141	2184
61	143	2170
62	145	2158
63	147	2155
64	150	2157
65	151	2148
66	154	2147
67	156	2138
68	157	2131
69	159	2119
70	162	2127
71	164	2119
72	166	2108
73	167	2096
74	170	2098
75	171	2090
76	173	2075
77	174	2062
78	175	2051
79	178	2047
80	179	2039
81	181	2029
82	183	2022
83	184	2017
84	186	2009
85	188	2002
86	190	1997
87	191	1989
88	193	1979
89	194	1971
90	196	1964
91	198	1961
92	200	1960
93	202	1952
94	204	1946
95	206	1943
96	208	1938
97	209	1930
98	211	1922
99	213	1917
100	214	1913
101	216	1909
102	218	1903
103	220	1898
104	221	1890
105	223	1885
106	225	1879
107	226	1870
108	228	1865
109	230	1863
110	231	1857
111	233	1849
112	234	1842
113	236	1835
114	237	1831
115	239	1826
116	241	1819
117	242	1813
118	244	1810
119	245	1803
120	247	1799
121	249	1797
122	251	1796
123	253	1791
124	255	1787
125	257	1782
126	257	1773
127	260	1775
128	262	1772
129	264	1767
130	265	1763
131	267	1757
132	269	1755
133	270	1750
134	272	1744
135	274	1741
136	275	1738
137	277	1735
138	279	1732
139	282	1733
140	284	1731
141	286	1729
142	287	1725
143	290	1728
144	293	1729
145	294	1725
146	297	1724
147	299	1721
148	300	1718
149	302	1714
150	305	1720
151	308	1723
152	314	1741
153	316	1740
154	318	1736
155	322	1743
156	324	1740
157	325	1736
158	327	1732
159	329	1729
160	331	1725
161	332	1721
162	335	1721
163	337	1718
164	338	1714
165	341	1714
166	343	1712
167	344	1708
168	346	1704
169	348	1701
170	350	1699
171	352	1698
172	354	1693
173	355	1689
174	357	1686
175	359	1683
176	361	1680
177	363	1676
178	365	1674
179	373	1700
180	375	1701
181	377	1697
182	379	1693
183	381	1691
184	383	1690
185	385	1686
186	386	1681
187	388	1679
188	391	1679
189	393	1676
190	395	1673
191	397	1673
192	399	1670
193	401	1668
194	403	1666
195	405	1663
196	407	1659
197	408	1654
198	409	1649
199	411	1646
200	413	1644
201	415	1640
202	416	1637
203	418	1634
204	420	1632
205	422	1629
206	424	1625
207	425	1620
208	427	1617
209	429	1614
210	431	1613
211	433	1611
212	435	1609
213	437	1607
214	439	1603
215	440	1598
216	442	1597
217	444	1595
218	446	1591
219	447	1587
220	449	1584
221	451	1581
222	452	1577
223	454	1573
224	455	1570
225	457	1568
226	460	1566
227	462	1564
228	463	1561
229	465	1558
230	467	1555
231	468	1551
232	470	1547
233	472	1546
234	474	1545
235	476	1542
236	478	1539
237	480	1539
238	482	1537
239	484	1533
240	486	1531
241	489	1533
242	491	1531
243	494	1532
244	496	1530
245	498	1528
246	500	1524
247	501	1521
248	504	1520
249	506	1518
250	507	1514
251	509	1511
252	511	1510
253	513	1507
254	515	1505
255	518	1507
256	520	1504
257	522	1501
258	525	1503
259	528	1503
260	530	1500
261	533	1501
262	536	1502
263	537	1499
264	540	1498
265	542	1498
266	544	1495
267	546	1492
268	549	1491
269	551	1489
270	552	1486
271	555	1487
272	557	1485
273	559	1481
274	560	1478
275	562	1476
276	564	1474
277	566	1471
278	568	1467
279	570	1466
280	572	1464
281	573	1461
282	575	1457
283	578	1457
284	580	1455
285	581	1452
286	583	1450
287	587	1452
288	589	1450
289	591	1447
290	594	1447
291	596	1446
292	598	1443
293	600	1441
294	601	1438
295	603	1435
296	605	1433
297	607	1430
298	609	1428
299	610	1425
300	613	1424
301	616	1424
302	617	1421
303	619	1418
304	620	1415
305	623	1413
306	625	1412
307	627	1410
308	629	1408
309	632	1407
310	634	1405
311	636	1402
312	639	1402
313	641	1400
314	643	1398
315	645	1397
316	647	1395
317	649	1393
318	651	1390
319	654	1389
320	657	1390
321	659	1388
322	661	1387
323	663	1384
324	665	1381
325	667	1379
326	669	1377
327	671	1375
328	673	1373
329	675	1372
330	677	1370
331	679	1367
332	680	1363
333	683	1362
334	685	1360
335	687	1357
336	688	1354
337	691	1353
338	692	1350
339	694	1348
340	696	1346
341	699	1345
342	701	1343
343	703	1340
344	706	1340
345	707	1338
346	709	1335
347	711	1332
348	714	1333
349	716	1330
350	717	1327
351	719	1323
352	721	1321
353	722	1319
354	724	1316
355	726	1313
356	729	1313
357	731	1311
358	732	1308
359	734	1305
360	737	1304
361	738	1301
362	740	1298
363	741	1295
364	744	1294
365	746	1293
366	747	1290
367	749	1287
368	751	1285
369	753	1283
370	755	1280
371	756	1277
372	759	1277
373	761	1274
374	763	1271
375	766	1271
376	768	1269
377	769	1266
378	770	1262
379	772	1259
380	774	1258
381	776	1256
382	777	1253
383	779	1250
384	781	1248
385	783	1246
386	785	1244
387	787	1241
388	790	1241
389	792	1238
390	793	1236
391	797	1236
392	798	1234
393	800	1230
394	801	1227
395	804	1227
396	807	1226
397	808	1223
398	810	1221
399	812	1218
400	814	1216
401	815	1213
402	817	1210
403	820	1210
404	822	1208
405	824	1205
406	826	1203
407	828	1201
408	829	1198
409	830	1195
410	831	1192
411	834	1190
412	836	1189
413	838	1186
414	839	1183
415	841	1181
416	843	1179
417	845	1177
418	846	1174
419	848	1172
420	851	1170
421	852	1168
422	854	1165
423	856	1163
424	858	1161
425	860	1159
426	861	1156
427	863	1154
428	866	1153
429	868	1151
430	869	1148
431	871	1146
432	873	1144
433	875	1142
434	877	1139
435	880	1138
436	882	1136
437	884	1134
438	886	1133
439	889	1132
440	891	1129
441	892	1126
442	894	1125
443	896	1123
444	898	1120
445	899	1117
446	901	1115
447	903	1113
448	905	1111
449	907	1108
450	909	1107
451	911	1104
452	912	1102
453	914	1100
454	916	1097
455	918	1095
456	919	1093
457	921	1090
458	922	1087
459	924	1085
460	926	1083
461	928	1080
462	929	1078
463	931	1075
464	933	1073
465	934	1071
466	936	1068
467	937	1065
468	939	1063
469	941	1061
470	943	1059
471	945	1057
472	947	1055
473	949	1053
474	951	1051
475	952	1048
476	954	1046
477	956	1044
478	958	1042
479	960	1040
480	961	1037
481	963	1035
482	965	1033
483	967	1031
484	968	1028
485	970	1026
486	972	1024
487	975	1022
488	977	1021
489	979	1019
490	981	1016
491	982	1014
492	984	1012
493	986	1010
494	988	1008
495	989	1005
496	991	1003
497	993	1001
498	995	999
499	996	996
500	998	994
501	1000	992
502	1002	990
503	1003	987
504	1005	985
505	1007	983
506	1009	981
507	1011	979
508	1012	977
509	1014	975
510	1016	973
511	1018	970
512	1020	968
513	1022	966
514	1024	964
515	1026	962
516	1028	960
517	1031	959
518	1033	957
519	1035	955
520	1037	953
521	1039	952
522	1041	949
523	1043	947
524	1045	946
525	1048	944
526	1050	942
527	1052	940
528	1054	938
529	1056	936
530	1058	934
531	1060	933
532	1062	931
533	1064	928
534	1066	926
535	1069	925
536	1071	923
537	1072	921
538	1074	918
539	1076	916
540	1078	915
541	1080	912
542	1082	910
543	1084	909
544	1086	907
545	1088	905
546	1090	903
547	1093	901
548	1095	899
549	1098	898
550	1100	896
551	1102	894
552	1104	892
553	1106	890
554	1108	889
555	1110	886
556	1111	884
557	1114	882
558	1116	881
559	1118	879
560	1121	877
561	1124	876
562	1125	873
563	1128	872
564	1130	870
565	1132	868
566	1134	866
567	1136	864
568	1138	862
569	1140	860
570	1142	858
571	1144	856
572	1146	854
573	1147	851
574	1150	850
575	1153	848
576	1154	846
577	1157	844
578	1159	843
579	1161	840
580	1162	838
581	1164	836
582	1166	834
583	1169	832
584	1170	830
585	1172	828
586	1175	827
587	1177	825
588	1179	822
589	1181	821
590	1184	819
591	1186	817
592	1188	815
593	1190	813
594	1192	811
595	1193	809
596	1195	806
597	1197	805
598	1199	802
599	1201	800
600	1202	798
601	1204	796
602	1206	794
603	1207	791
604	1209	789
605	1211	787
606	1213	785
607	1215	783
608	1217	781
609	1220	780
610	1221	777
611	1223	775
612	1225	773
613	1228	772
614	1230	770
615	1232	768
616	1234	766
617	1236	764
618	1239	762
619	1241	761
620	1243	759
621	1246	757
622	1250	756
623	1252	754
624	1253	752
625	1256	750
626	1258	748
627	1260	746
628	1261	744
629	1263	742
630	1265	739
631	1266	737
632	1268	735
633	1269	733
634	1272	731
635	1274	729
636	1277	727
637	1279	725
638	1281	723
639	1282	721
640	1284	719
641	1288	718
642	1290	716
643	1291	714
644	1295	712
645	1297	710
646	1298	708
647	1300	706
648	1303	704
649	1305	702
650	1307	700
651	1310	699
652	1312	697
653	1313	695
654	1315	692
655	1317	690
656	1319	688
657	1321	686
658	1322	684
659	1324	682
